vendor_id,name,canonical_name,onboarding_date,historical_transaction_count,average_invoice_value,tax_id,bank_account,address,contact_email
VEND001,TechNova Solutions,technova solutions,2022-09-29,55,1607.8,TX-237235-C,GB92BARC41456968,"333 Business Park, Suite 49, London",billing@technovasolutio.com
VEND002,Apex Logistics,apex logistics,2024-08-16,14,9230.36,TX-109767-B,GB89BARC69034122,"85 Business Park, Suite 35, London",billing@apexlogistics.com
VEND003,Globex Office,globex office,2022-08-07,69,4150.24,TX-378082-A,GB54BARC17213241,"388 Business Park, Suite 19, London",billing@globexoffice.com
VEND004,Omni Marketing,omni marketing,2022-06-11,61,2938.83,TX-974244-C,GB48BARC74139093,"551 Business Park, Suite 1, London",billing@omnimarketing.com
VEND005,Quantum Consulting,quantum consulting,2023-11-15,109,708.87,TX-681542-B,GB94BARC20861827,"280 Business Park, Suite 8, London",billing@quantumconsulti.com
VEND006,Vanguard Security,vanguard security,2024-06-30,18,708.79,TX-878480-C,GB29BARC38557746,"629 Business Park, Suite 14, London",billing@vanguardsecurit.com
VEND007,Summit Facilities,summit facilities,2024-01-05,48,379.52,TX-313487-C,GB91BARC99434343,"527 Business Park, Suite 32, London",billing@summitfacilitie.com
VEND008,Pinnacle Catering,pinnacle catering,2022-09-15,120,6233.69,TX-987204-A,GB21BARC76509564,"859 Business Park, Suite 18, London",billing@pinnaclecaterin.com
VEND009,BlueSky IT,bluesky it,2022-02-15,5,2957.25,TX-449759-A,GB91BARC37468030,"769 Business Park, Suite 29, London",billing@blueskyit.com
VEND010,Starlight Media,starlight media,2023-07-19,95,3893.75,TX-548462-C,GB11BARC21730819,"977 Business Park, Suite 45, London",billing@starlightmedia.com
VEND011,Alpha Partners,alpha partners,2024-07-14,24,262.4,TX-672092-A,GB57BARC71080580,"161 Business Park, Suite 28, London",billing@alphapartners.com
VEND012,Delta Freight,delta freight,2022-05-11,10,10710.67,TX-423232-B,GB15BARC47519036,"708 Business Park, Suite 16, London",billing@deltafreight.com
VEND013,Prime Supplies,prime supplies,2023-11-14,18,5559.29,TX-470858-C,GB62BARC75081029,"957 Business Park, Suite 16, London",billing@primesupplies.com
VEND014,Core Tech,core tech,2024-06-04,25,916.06,TX-938742-A,GB62BARC12599032,"764 Business Park, Suite 22, London",billing@coretech.com
VEND015,Nova Group,nova group,2024-03-12,57,802.04,TX-941204-C,GB41BARC37976630,"816 Business Park, Suite 45, London",billing@novagroup.com
VEND016,Axis Energy,axis energy,2022-04-21,53,807.83,TX-140605-B,GB38BARC30926768,"368 Business Park, Suite 20, London",billing@axisenergy.com
VEND017,Helix Labs,helix labs,2024-04-20,106,1288.26,TX-338651-A,GB13BARC79209434,"418 Business Park, Suite 22, London",billing@helixlabs.com
VEND018,Zenith Printing,zenith printing,2022-10-13,115,2431.78,TX-172792-B,GB54BARC77264275,"419 Business Park, Suite 44, London",billing@zenithprinting.com
VEND019,Matrix Corp,matrix corp,2024-05-13,73,1896.61,TX-447235-A,GB24BARC37390332,"604 Business Park, Suite 17, London",billing@matrixcorp.com
VEND020,Atlas Steel,atlas steel,2022-02-09,18,1232.67,TX-725550-B,GB54BARC86393450,"456 Business Park, Suite 39, London",billing@atlassteel.com
