vendor_id,name,canonical_name,onboarding_date,historical_transaction_count,average_invoice_value,tax_id,bank_account,address,contact_email
VEND001,TechNova Solutions,technova,2022-02-28,11,1607.8,TX-712554-B,GB74BARC99414177,"171 Business Park, Suite 4, London",billing@technova.com
VEND002,Apex Logistics,apexlogistics,2024-09-10,70,9230.36,TX-184002-A,GB18BARC72393918,"701 Business Park, Suite 16, London",billing@apexlogistics.com
VEND003,Globex Office,globexoffice,2023-02-18,20,4150.24,TX-697347-A,GB84BARC72339815,"644 Business Park, Suite 6, London",billing@globexoffice.com
VEND004,Omni Marketing,omnimarketing,2023-03-06,89,2938.83,TX-712024-C,GB76BARC43173743,"219 Business Park, Suite 43, London",billing@omnimarketing.com
VEND005,Quantum Consulting,quantumconsulting,2024-01-04,45,708.87,TX-350280-B,GB60BARC23723595,"670 Business Park, Suite 20, London",billing@quantumconsulti.com
VEND006,Vanguard Security,vanguardsecurity,2023-04-14,45,708.79,TX-888387-A,GB11BARC58054789,"586 Business Park, Suite 7, London",billing@vanguardsecurit.com
VEND007,Summit Facilities,summitfacilities,2022-03-17,73,379.52,TX-323508-C,GB43BARC23889054,"912 Business Park, Suite 5, London",billing@summitfacilitie.com
VEND008,Pinnacle Catering,pinnaclecatering,2024-06-19,36,6233.69,TX-487477-B,GB30BARC55946979,"730 Business Park, Suite 20, London",billing@pinnaclecaterin.com
VEND009,BlueSky IT,blueskyit,2023-09-19,108,2957.25,TX-785743-C,GB11BARC80030580,"316 Business Park, Suite 43, London",billing@blueskyit.com
VEND010,Starlight Media,starlightmedia,2022-04-17,117,3893.75,TX-240814-B,GB24BARC21223580,"169 Business Park, Suite 18, London",billing@starlightmedia.com
VEND011,Alpha Partners,alphapartners,2022-10-16,82,262.4,TX-320861-C,GB53BARC31348797,"659 Business Park, Suite 17, London",billing@alphapartners.com
VEND012,Delta Freight,deltafreight,2023-06-02,67,10710.67,TX-363319-A,GB21BARC76509564,"859 Business Park, Suite 18, London",billing@deltafreight.com
VEND013,Prime Supplies,primesupplies,2022-02-15,5,5559.29,TX-449759-A,GB91BARC37468030,"769 Business Park, Suite 29, London",billing@primesupplies.com
VEND014,Core Tech,coretech,2023-07-19,95,916.06,TX-548462-C,GB11BARC21730819,"977 Business Park, Suite 45, London",billing@coretech.com
VEND015,Nova Group,nova,2024-07-14,24,802.04,TX-672092-A,GB57BARC71080580,"161 Business Park, Suite 28, London",billing@nova.com
VEND016,Axis Energy,axisenergy,2022-05-11,10,807.83,TX-423232-B,GB15BARC47519036,"708 Business Park, Suite 16, London",billing@axisenergy.com
VEND017,Helix Labs,helixlabs,2023-11-14,18,1288.26,TX-470858-C,GB62BARC75081029,"957 Business Park, Suite 16, London",billing@helixlabs.com
VEND018,Zenith Printing,zenithprinting,2024-06-04,25,2431.78,TX-938742-A,GB62BARC12599032,"764 Business Park, Suite 22, London",billing@zenithprinting.com
VEND019,Matrix Corp,matrix,2024-03-12,57,1896.61,TX-941204-C,GB41BARC37976630,"816 Business Park, Suite 45, London",billing@matrix.com
VEND020,Atlas Steel,atlassteel,2022-04-21,53,1232.67,TX-140605-B,GB38BARC30926768,"368 Business Park, Suite 20, London",billing@atlassteel.com
VEND021,Pioneer1 Enterprises Pvt. Ltd.,pioneer1enterprises,2024-04-20,106,3039.11,TX-338651-A,GB13BARC79209434,"418 Business Park, Suite 22, London",billing@pioneer1enterpr.com
VEND022,NextGen2 Services Inc.,nextgen2,2022-10-13,115,650.7,TX-172792-B,GB54BARC77264275,"419 Business Park, Suite 44, London",billing@nextgen2.com
VEND023,Pioneer3 Industries Corp.,pioneer3industries,2024-05-13,73,1236.55,TX-447235-A,GB24BARC37390332,"604 Business Park, Suite 17, London",billing@pioneer3industr.com
VEND024,Summit4 Enterprises LLC,summit4enterprises,2022-02-09,18,1568.83,TX-725550-B,GB54BARC86393450,"456 Business Park, Suite 39, London",billing@summit4enterpri.com
VEND025,NextGen5 Services LLC,nextgen5,2023-06-08,19,2026.8,TX-503906-C,GB34BARC36709515,"735 Business Park, Suite 28, London",billing@nextgen5.com
VEND026,Sterling6 Services Corp.,sterling6,2022-01-02,71,4813.81,TX-945687-C,GB97BARC85437795,"211 Business Park, Suite 24, London",billing@sterling6.com
VEND027,NextGen7 Ventures Pvt. Ltd.,nextgen7ventures,2023-03-18,13,868.21,TX-796503-B,GB89BARC42916494,"878 Business Park, Suite 8, London",billing@nextgen7venture.com
VEND028,Summit8 Group Corp.,summit8,2024-01-08,120,2366.09,TX-414910-C,GB49BARC79928762,"344 Business Park, Suite 26, London",billing@summit8.com
VEND029,Apex9 Systems Inc.,apex9systems,2023-12-15,42,2892.51,TX-681343-A,GB34BARC54086995,"972 Business Park, Suite 25, London",billing@apex9systems.com
VEND030,NextGen10 Technologies LLC,nextgen10,2023-11-25,100,342.69,TX-282480-C,GB82BARC41556861,"571 Business Park, Suite 1, London",billing@nextgen10.com
VEND031,Pioneer11 Logistics LLC,pioneer11logistics,2022-11-08,41,3006.0,TX-320392-B,GB84BARC73613093,"339 Business Park, Suite 30, London",billing@pioneer11logist.com
VEND032,Apex12 Technologies Pvt. Ltd.,apex12,2023-03-29,61,760.88,TX-808446-A,GB75BARC59617131,"684 Business Park, Suite 6, London",billing@apex12.com
VEND033,Summit13 Ventures LLC,summit13ventures,2022-10-18,70,401.79,TX-796101-C,GB89BARC45147021,"848 Business Park, Suite 49, London",billing@summit13venture.com
VEND034,Elite14 Industries Pvt. Ltd.,elite14industries,2022-08-29,91,9121.06,TX-425498-A,GB35BARC25451113,"57 Business Park, Suite 16, London",billing@elite14industri.com
VEND035,Velocity15 Technologies Inc.,velocity15,2023-05-02,83,10311.89,TX-991014-A,GB68BARC53457290,"599 Business Park, Suite 13, London",billing@velocity15.com
VEND036,Pioneer16 Enterprises Inc.,pioneer16enterprises,2024-01-06,94,5156.99,TX-502630-B,GB61BARC35583628,"681 Business Park, Suite 45, London",billing@pioneer16enterp.com
VEND037,Integra17 Industries Inc.,integra17industries,2022-01-06,119,1289.86,TX-887443-A,GB64BARC32947132,"833 Business Park, Suite 45, London",billing@integra17indust.com
VEND038,Pioneer18 Logistics Pvt. Ltd.,pioneer18logistics,2023-06-15,64,508.33,TX-152657-C,GB41BARC98954525,"477 Business Park, Suite 9, London",billing@pioneer18logist.com
VEND039,Horizon19 Technologies Inc.,horizon19,2024-03-31,64,3658.25,TX-800005-C,GB81BARC72437750,"982 Business Park, Suite 49, London",billing@horizon19.com
VEND040,Apex20 Technologies Inc.,apex20,2024-07-01,61,1940.27,TX-742412-C,GB74BARC54747080,"466 Business Park, Suite 11, London",billing@apex20.com
VEND041,Integra21 Industries Inc.,integra21industries,2024-02-01,115,590.46,TX-597732-B,GB43BARC88829541,"870 Business Park, Suite 41, London",billing@integra21indust.com
VEND042,Sterling22 Services Inc.,sterling22,2022-10-11,103,2250.64,TX-915451-C,GB72BARC75719340,"291 Business Park, Suite 29, London",billing@sterling22.com
VEND043,Horizon23 Logistics Pvt. Ltd.,horizon23logistics,2022-03-21,96,304.98,TX-399607-A,GB44BARC45216150,"924 Business Park, Suite 35, London",billing@horizon23logist.com
VEND044,Sterling24 Services Pvt. Ltd.,sterling24,2022-03-24,22,7401.27,TX-258157-A,GB59BARC82765929,"733 Business Park, Suite 14, London",billing@sterling24.com
VEND045,Summit25 Services LLC,summit25,2022-03-07,58,1098.37,TX-527398-B,GB79BARC58855763,"73 Business Park, Suite 14, London",billing@summit25.com
VEND046,Apex26 Logistics Pvt. Ltd.,apex26logistics,2024-05-02,58,3458.77,TX-508396-C,GB99BARC12048083,"399 Business Park, Suite 31, London",billing@apex26logistics.com
